entry_delta,harvest_delta,cagr,max_drawdown,sharpe,final_value
0.55,0.75,0.5988814175515795,-0.8522437324614176,0.9061687448707008,1903427.7993181688
0.55,0.8,0.6511146017774694,-0.8552957807039426,0.9373380833007122,2329066.1522863214
0.55,0.85,0.6008745402902735,-0.8429860320471223,0.918839783864056,1918372.832648908
0.55,0.9,0.572143179317661,-0.8458876134579496,0.8994267433837804,1712206.4480386747
0.55,0.95,0.6022331911910574,-0.8327727565518137,0.9202952769897369,1928616.847189496
0.6,0.75,0.6046951080863754,-0.8292920946673156,0.9149999439241582,1947296.4978742497
0.6,0.8,0.5848802046815458,-0.8417936508148445,0.9019602111210356,1801175.4890622518
0.6,0.85,0.6203074610318324,-0.8388856108126801,0.9288580929337629,2069331.2195896949
0.6,0.9,0.5985282248534505,-0.825689690831845,0.9218102502791685,1900789.6915277813
0.6,0.95,0.5927089897303934,-0.8124791342287511,0.9227262356069874,1857764.4841686399
0.65,0.75,0.5479647387704059,-0.8139732369954028,0.8851512568912238,1553457.7129416657
0.65,0.8,0.5822133930385975,-0.8149299842114229,0.9084558494534575,1782232.9737641828
0.65,0.85,0.5543756008827871,-0.8247794985311605,0.8943760308527405,1594291.2662099102
0.65,0.9,0.60875787441161,-0.8095518889556675,0.9341903441014572,1978455.0773222926
0.65,0.95,0.573154744904206,-0.8060970492856496,0.9164559661210502,1719134.472019448
0.7,0.8,0.5433523983007635,-0.7975361133841112,0.8917391056918906,1524626.7083700504
0.7,0.85,0.5310808739446407,-0.8032385084729767,0.8838780669041638,1450101.0337513352
0.7,0.9,0.5414554472917592,-0.8029144371965569,0.8949800479018825,1512900.438268729
0.7,0.95,0.5341053757982517,-0.7969937206692292,0.9005797201852325,1468178.2793745701
0.75,0.85,0.509671035752814,-0.7772785642104024,0.8792932591827389,1327406.309281658
0.75,0.9,0.5147174672572199,-0.779088985079059,0.885657432311756,1355509.2755020275
0.75,0.95,0.5477590547057583,-0.7852842183149352,0.9165446229912133,1552162.3228632498
0.8,0.9,0.4851210043823777,-0.7728492321656937,0.8723067767266667,1197573.7255908838
0.8,0.95,0.4756797087799145,-0.771918558578325,0.8720875014912484,1150572.9597299583
