date,spot,cash,options_mv,portfolio,n_positions,cash_pct,avg_delta
2020-01-06,207.73931884765625,100000.0,0.0,100000.0,0,1.0,0.0
2020-01-07,207.7104034423828,100000.0,0.0,100000.0,0,1.0,0.0
2020-01-08,209.27159118652344,100000.0,0.0,100000.0,0,1.0,0.0
2020-01-09,211.04489135742188,100000.0,0.0,100000.0,0,1.0,0.0
2020-01-10,210.50521850585932,100000.0,0.0,100000.0,0,1.0,0.0
2020-01-13,212.93374633789065,100000.0,0.0,100000.0,0,1.0,0.0
2020-01-14,212.09532165527344,100000.0,0.0,100000.0,0,1.0,0.0
2020-01-15,212.1820068359375,100000.0,0.0,100000.0,0,1.0,0.0
2020-01-16,214.21551513671875,100000.0,0.0,100000.0,0,1.0,0.0
2020-01-17,215.275619506836,100000.0,0.0,100000.0,0,1.0,0.0
2020-01-21,215.17922973632807,100000.0,0.0,100000.0,0,1.0,0.0
2020-01-22,215.7478179931641,100000.0,0.0,100000.0,0,1.0,0.0
2020-01-23,216.44171142578125,100000.0,0.0,100000.0,0,1.0,0.0
2020-01-24,214.62030029296875,100000.0,0.0,100000.0,0,1.0,0.0
2020-01-27,210.1871490478516,91460.59960159638,8603.377819547803,100063.97742114418,1,0.9140212288050639,0.7030714716163191
2020-01-28,213.4156036376953,91460.59960159638,9291.78127778361,100752.38087937998,1,0.9077760624941691,0.7261704742934597
2020-01-29,213.76254272460932,91460.59960159638,9363.679655303167,100824.27925689955,1,0.9071287221261004,0.7286262823596841
2020-01-30,214.5238647460937,91460.59960159638,9526.896002886971,100987.49560448335,1,0.9056626174769302,0.7339024235398864
2020-01-31,211.12196350097656,91460.59960159638,8786.11389043487,100246.71349203124,1,0.9123550929065292,0.7100553723500317
2020-02-03,214.31187438964844,91460.59960159638,9465.047592897903,100925.64719449428,1,0.9062176180583934,0.7326875437802363
2020-02-04,219.2172088623047,91460.59960159638,10563.543268561829,102024.1428701582,1,0.8964603576037331,0.7648509876482125
2020-02-05,219.9400177001953,91460.59960159638,10726.185675547598,102186.78527714398,1,0.8950335344589149,0.7694023655940733
2020-02-06,221.83853149414065,91460.59960159638,11164.03044336188,102624.63004495826,1,0.8912149019346418,0.78092926536165
2020-02-07,220.8844757080078,91460.59960159638,10951.311178703165,102411.91078029954,1,0.8930660399238463,0.7747791356142374
2020-02-10,223.553939819336,91460.59960159638,11612.011637658512,103072.61123925488,1,0.8873414431045664,0.7888040250966032
2020-02-11,223.59246826171875,91460.59960159638,11617.621725959776,103078.22132755615,1,0.8872931490635451,0.7891034675628248
2020-02-12,225.77052307128903,91460.59960159638,12152.73972991653,103613.3393315129,1,0.8827106643958882,0.8004150509124796
2020-02-13,225.48141479492188,91460.59960159638,12075.48736888595,103536.08697048233,1,0.8833692896629499,0.7991267146778818
2020-02-14,226.1270904541016,91460.59960159638,12225.864374514604,103686.46397611097,1,0.8820881346929587,0.8027554221889365
2020-02-18,226.2138519287109,91460.59960159638,12233.806494677165,103694.40609627354,1,0.8820205741540303,0.8035309759113519
2020-02-19,228.38217163085932,91460.59960159638,12745.764521491605,104206.36412308799,1,0.877687273433354,0.8154857561355828
2020-02-20,226.2619781494141,91460.59960159638,12280.892567138468,103741.49216873484,1,0.8816202436421131,0.8020939362883261
2020-02-21,221.91563415527344,91460.59960159638,11466.306265070401,102926.90586666678,1,0.8885975812784652,0.7699048729310866
2020-02-24,213.3578338623047,84633.03785364128,17040.37557636304,101673.41343000432,2,0.8324008705767092,0.7004429503178529
2020-02-25,207.55621337890625,84633.03785364128,15632.978413018558,100266.01626665983,2,0.8440849751979546,0.6610220683736938
2020-02-26,208.6259613037109,84633.03785364128,15967.384639395252,100600.42249303653,2,0.8412791492948203,0.6676297889433929
2020-02-27,198.17921447753903,76994.82828141136,21250.11389851302,98244.94217992439,3,0.7837027186641744,0.6257145956223188
2020-02-28,198.3334350585937,69833.82883046783,29350.26031667365,99184.08914714148,4,0.7040829777331323,0.6539562204243496
